"ID";"year";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12"
"METIKALOV";1984;53,07;58,54;13,24;65,85;109,21;68,7;59,34;62,77;98,03;25,56;39,37;20,54
"METIKALOV";1985;29,67;30,24;37,55;44,62;41,77;66,19;65,16;78,4;36,86;5,93;91,07;48,16
"METIKALOV";1986;113,09;17,69;49,87;44,62;144,7;38,46;68,24;146,64;42;72,58;15,52;98,03
"METIKALOV";1987;82,17;57,17;53,07;43,14;70,18;85,36;93,81;65,05;71,67;30,58;42,68;55,01
"METIKALOV";1988;40,17;77,03;96,89;13,69;31,95;109,44;72,12;67,45;61,74;24,88;58,89;90,04
"METIKALOV";1989;15,18;33,55;38,57;62,88;41,77;72,01;56,6;70,18;75,66;39,83;47,82;47,36
"METIKALOV";1990;28,76;84,45;36,86;55,69;39,14;72,58;19,74;65,85;51,47;43,14;99,4;29,67
"METIKALOV";1991;21,57;21,8;17;23,39;44,74;94,83;19,86;60,03;23,17;7,76;55,35;84,22
"METIKALOV";1992;25,56;26,36;68,02;53,98;16,32;86,85;151,32;49,76;49,98;67,1;65,73;31,5
"METIKALOV";1993;71,67;30,58;11,75;24,19;42,57;122,22;129,41;40,51;44,05;55,46;56,15;108,19
"METIKALOV";1994;58,43;23,17;74,18;60,03;72,24;25,11;53,98;94,38;58,66;45,65;41,43;70,07
"METIKALOV";1995;103,62;46,45;60,71;69,16;50,44;102,25;94,61;86,62;60,26;18,37;47,36;49,64
"METIKALOV";1996;9,47;26,13;30,24;28,53;68,47;100,08;99,86;103,85;52,95;54,78;33,55;34,92
"METIKALOV";1997;19,74;70,64;56,95;51,47;23,62;45,65;91,87;43,14;19,06;45,08;18,6;56,03
"METIKALOV";1998;33,67;12,21;44,05;22,6;39,71;90,16;109,9;60,26;115,83;168,78;49,87;26,82
"METIKALOV";1999;52,72;71,33;35,26;31,27;56,38;70,75;50,9;32,87;78,51;27,16;44,85;62,65
"METIKALOV";2000;49,87;50,33;141,62;39,71;54,09;66,65;89,81;66,19;43,71;61,28;43,71;23,51
"METIKALOV";2001;47,59;35,03;110,92;52,84;44,96;58,43;97,8;56,15;97,69;26,7;65,28;77,03
"METIKALOV";2002;30,36;96,77;47,93;27,16;83,19;72,81;57,29;198,46;77,26;82,05;115,72;70,64
"METIKALOV";2003;48,04;12,21;9,93;30,24;62,2;41,65;93,24;15,29;15,18;56,15;19,74;38,12
"METIKALOV";2004;77,83;42,91;28,3;27,05;92,1;92,1;73,84;59,23;81,94;39,49;95,06;29,9
"METIKALOV";2005;93,58;68,47;26,13;28,76;78,29;71,21;96,89;63,91;62,08;27,39;21,57;70,87
"METIKALOV";2006;20,31;31,61;66,53;86,05;131,47;85,82;63,91;88,33;27,16;36,52;45,53;24,76
"METIKALOV";2007;84,68;48,96;40,74;14,38;108,41;86,39;100,43;103,05;105,45;24,42;90,16;25,45
"METIKALOV";2008;26,25;30,24;81,03;88,9;49,87;59,23;56,15;43,82;54,78;64,14;36,86;39,83
"METIKALOV";2009;20,66;33,78;61,17;60,71;74,86;78,74;95,98;36,52;35,95;61,97;66,99;70,53
"METIKALOV";2010;49,98;26,48;37,77;37,89;97,8;62,65;113,89;134,09;68,59;17,57;110,7;87,19
"METIKALOV";2011;42,85;12,97;18,36;27,57;67,44;68,17;144,77;94,9;47,24;38,67;1,82;105,49
"METIKALOV";2012;97,51;22,88;20,01;43,96;42,69;66,45;99,01;49,47;38,04;62,37;66,35;65,94
"METIKALOV";2013;39,14;63,18;22,17;25,98;108,07;131,24;28,21;141,89;59,53;49,29;41,81;16,65
"METIKALOV";2014;27,36;5,46;19,83;45,94;112;38,49;108,12;82,27;87,49;56,52;33,04;46,04
"METIKALOV";2015;57,29;4,79;51,47;51,58;28,64;89,24;40,06;69,61;26,36;65,85;100,77;21,57
"PLAVEC";1901;59,12;32,4;71,81;35,14;67,45;47,92;90,91;25,03;9,86;46,6;39,5;51,17
"PLAVEC";1902;24,43;28,82;40,17;44,33;49,45;53,33;84,33;50,93;40,37;48,46;36,63;31,98
"PLAVEC";1903;37,93;24,11;36,69;13,87;29,46;87,99;65,36;56,24;54,47;48,65;7,74;50,91
